Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Product ID,Category,Sub-Category,Product Name,Sales,quantity,lag_1_sales,lag_2_sales,rolling_7d_mean,rolling_30d_mean
7322,CA-2018-167626,2018-09-03,7/9/2018,Standard Class,MY-18295,Muhammed Yedwab,Corporate,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",8.904,1,,,8.904,8.904
1709,CA-2018-123491,2018-10-30,5/11/2018,Standard Class,JK-15205,Jamie Kunitz,Consumer,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",7.42,1,8.904,,8.161999999999999,8.161999999999999
3783,CA-2018-165204,2018-11-13,16/11/2018,Second Class,MN-17935,Michael Nguyen,Consumer,OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",8.904,1,7.42,8.904,8.409333333333334,8.409333333333334
2586,CA-2016-121041,2016-11-03,10/11/2016,Standard Class,CS-12250,Chris Selesnick,Corporate,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",6.608,1,,,6.608,6.608
3742,CA-2017-137848,2017-01-15,21/01/2017,Standard Class,WB-21850,William Brown,Consumer,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",16.52,1,6.608,,11.564,11.564
356,CA-2017-138520,2017-04-08,13/04/2017,Standard Class,JL-15505,Jeremy Lonsdale,Consumer,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",8.26,1,16.52,6.608,10.462666666666665,10.462666666666665
7828,CA-2018-117114,2018-10-31,5/11/2018,Standard Class,CY-12745,Craig Yedwab,Corporate,OFF-EN-10001137,Office Supplies,Envelopes,"#10 Gummed Flap White Envelopes, 100/Box",9.912,1,8.26,16.52,10.325,10.325
3673,CA-2017-104969,2017-04-08,14/04/2017,Standard Class,EH-14125,Eugene Hildebrand,Home Office,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,8.872,1,,,8.872,8.872
4641,CA-2017-102162,2017-09-11,16/09/2017,Standard Class,JF-15565,Jill Fjeld,Consumer,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,11.09,1,8.872,,9.981,9.981
3696,CA-2017-142097,2017-10-15,20/10/2017,Standard Class,QJ-19255,Quincy Jones,Corporate,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,66.54,1,11.09,8.872,28.834000000000003,28.834000000000003
3043,CA-2018-149559,2018-09-11,12/9/2018,Same Day,KF-16285,Karen Ferguson,Home Office,OFF-EN-10002312,Office Supplies,Envelopes,#10 Self-Seal White Envelopes,22.18,1,66.54,11.09,27.170500000000004,27.170500000000004
3163,CA-2015-153969,2015-09-21,25/09/2015,Standard Class,HF-14995,Herbert Flentye,Consumer,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",78.35,1,,,78.35,78.35
4445,US-2015-147704,2015-11-16,21/11/2015,Standard Class,SR-20740,Steven Roelle,Home Office,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",78.35,1,78.35,,78.35,78.35
4933,CA-2016-106978,2016-09-28,4/10/2016,Standard Class,ZC-21910,Zuschuss Carroll,Consumer,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",12.536,1,78.35,78.35,56.412,56.412
8762,CA-2017-159891,2017-01-31,6/2/2017,Standard Class,BF-11170,Ben Ferrer,Home Office,OFF-EN-10004483,Office Supplies,Envelopes,"#10 White Business Envelopes,4 1/8 x 9 1/2",125.36,1,12.536,78.35,73.649,73.649
